name	cat	ranks	pid	tid	eid	abs_start_us	abs_end_us	rel_start_us	rel_end_us	dur_us	op_type	input_dims	input_type
allgather_ring_8_8	op	[0, 1, 2, 3, 4, 5, 6, 7]	0	0	0	1760078710220546	1760078710220546	1637887	1637887	0	comm	1	torch.int64
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	2	1760078713555952	1760078713555952	4973294	4973294	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	3	1760078713556528	1760078713556528	4973870	4973870	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	4	1760078713603510	1760078713603510	5020852	5020852	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	5	1760078713603763	1760078713603763	5021104	5021104	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	7	1760078713607106	1760078713607106	5024447	5024447	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	8	1760078713669131	1760078713669131	5086473	5086473	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	11	1760078713772522	1760078713772522	5189864	5189864	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	12	1760078713772692	1760078713772692	5190034	5190034	0	comm	1	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	14	1760078713777846	1760078713777846	5195188	5195188	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	16	1760078713819773	1760078713819773	5237115	5237115	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	17	1760078713819855	1760078713819855	5237197	5237197	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	19	1760078713828844	1760078713828844	5246186	5246186	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	20	1760078713830479	1760078713830479	5247820	5247820	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	21	1760078713833405	1760078713833405	5250746	5250746	0	comm	[1, 1, 2048, 64]	torch.bfloat16
