name	cat	ranks	pid	tid	eid	abs_start_us	abs_end_us	rel_start_us	rel_end_us	dur_us	op_type	input_dims	input_type
allgather_ring_8_8	op	[0, 1, 2, 3, 4, 5, 6, 7]	0	0	0	1760078801824141	1760078801824141	803533	803533	0	comm	1	torch.int64
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	2	1760078804328305	1760078804328305	3307697	3307697	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	3	1760078804328497	1760078804328497	3307888	3307888	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	4	1760078804352386	1760078804352386	3331778	3331778	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	5	1760078804352512	1760078804352512	3331903	3331903	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	7	1760078804354169	1760078804354169	3333561	3333561	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	8	1760078804385496	1760078804385496	3364888	3364888	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	11	1760078804431146	1760078804431146	3410538	3410538	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	12	1760078804431235	1760078804431235	3410627	3410627	0	comm	1	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	14	1760078804434420	1760078804434420	3413812	3413812	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	16	1760078804464035	1760078804464035	3443427	3443427	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	17	1760078804464111	1760078804464111	3443503	3443503	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	19	1760078804472067	1760078804472067	3451459	3451459	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	20	1760078804473379	1760078804473379	3452771	3452771	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	21	1760078804476062	1760078804476062	3455454	3455454	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	22	1760078804476942	1760078804476942	3456334	3456334	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	25	1760078804501930	1760078804501930	3481322	3481322	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	26	1760078804502013	1760078804502013	3481405	3481405	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	27	1760078804502868	1760078804502868	3482259	3482259	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	28	1760078804502961	1760078804502961	3482352	3482352	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	30	1760078804503646	1760078804503646	3483038	3483038	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	31	1760078804503941	1760078804503941	3483333	3483333	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	34	1760078804513689	1760078804513689	3493081	3493081	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	35	1760078804513733	1760078804513733	3493125	3493125	0	comm	1	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	37	1760078804515101	1760078804515101	3494493	3494493	0	comm	[1, 2048, 2048]	torch.bfloat16
